original_article,duplicate_article,link1_length,link2_length,link3_length,link4_length,is circular reporting?
postimees.ee/8150487,postimees.ee/7025155,2,3,,,FALSE
postimees.ee/8144942,err.ee/1608870314,2,3,,,FALSE
postimees.ee/8102016,err.ee/1609363463,2,3,,,FALSE
postimees.ee/8082327,delfi.ee/artikkel/120314137,2,3,,,FALSE
postimees.ee/8067454,postimees.ee/8066186,3,2,,,TRUE
postimees.ee/8045276,postimees.ee/6798656,3,2,,,TRUE
postimees.ee/8037368,postimees.ee/8032079,2,3,,,FALSE
postimees.ee/7992895,postimees.ee/7722123,2,3,3,,FALSE
postimees.ee/7992895,postimees.ee/7727575,2,3,,,FALSE
postimees.ee/7989447,postimees.ee/7974860,3,2,,,FALSE
postimees.ee/7987517,postimees.ee/7974894,2,3,,,FALSE
postimees.ee/7987517,postimees.ee/7974860,2,3,3,,FALSE
postimees.ee/7974390,postimees.ee/7970464,2,3,,,FALSE
postimees.ee/7970219,err.ee/1609265352,2,2,,,FALSE
postimees.ee/7970219,err.ee/1609263831,3,3,,,FALSE
postimees.ee/7965736,postimees.ee/7958602,2,3,3,,FALSE
postimees.ee/7965113,postimees.ee/4424661,3,2,,,TRUE
postimees.ee/7956120,postimees.ee/7395172,2,2,,,FALSE
postimees.ee/7953398,delfi.ee/artikkel/120264368,2,2,,,TRUE
postimees.ee/7929969,err.ee/1609185430,2,2,,,FALSE
postimees.ee/7916474,err.ee/1609122617,3,2,,,FALSE
postimees.ee/7900691,postimees.ee/7894448,3,2,,,FALSE
postimees.ee/7898362,postimees.ee/7894448,2,3,,,FALSE
postimees.ee/7895264,postimees.ee/7818617,2,3,,,FALSE
postimees.ee/7877689,postimees.ee/7874839,2,2,,,FALSE
postimees.ee/7863797,err.ee/1609106240,2,3,,,FALSE
postimees.ee/7854882,postimees.ee/7856204,2,3,,,FALSE
postimees.ee/7854426,postimees.ee/7080365,3,2,,,FALSE
postimees.ee/7824026,postimees.ee/7194127,2,3,,,TRUE
postimees.ee/7816868,err.ee/1609022255,3,2,,,FALSE
postimees.ee/7784072,postimees.ee/7757837,2,3,,,FALSE
postimees.ee/7765646,postimees.ee/7765184,2,3,,,FALSE
postimees.ee/7749590,postimees.ee/7748156,2,3,,,FALSE
postimees.ee/7733641,postimees.ee/7730337,3,3,,,FALSE
postimees.ee/7732367,postimees.ee/7722123,2,3,,,FALSE
postimees.ee/7722931,postimees.ee/7705105,2,3,,,FALSE
postimees.ee/7720502,postimees.ee/7712827,3,2,,,TRUE
postimees.ee/7718331,delfi.ee/artikkel/120142338,2,3,,,FALSE
postimees.ee/7706197,postimees.ee/7700284,3,2,,,FALSE
postimees.ee/7703748,postimees.ee/7700284,2,3,,,FALSE
postimees.ee/7701982,postimees.ee/7699718,2,2,3,,FALSE
postimees.ee/7690129,postimees.ee/7688278,2,3,,,FALSE
postimees.ee/7671940,postimees.ee/7651048,2,3,,,FALSE
postimees.ee/7666981,postimees.ee/7663017,2,3,,,FALSE
postimees.ee/7667083,postimees.ee/7665190,2,2,,,TRUE
postimees.ee/7661369,postimees.ee/7660402,2,2,,,FALSE
postimees.ee/7658487,err.ee/1608796645,2,3,3,,FALSE
postimees.ee/8172820,postimees.ee/7984780,3,2,,,FALSE
postimees.ee/8159258,delfi.ee/artikkel/120344052,3,2,3,,FALSE
postimees.ee/8156475,postimees.ee/8153335,3,2,,,FALSE
postimees.ee/8148274,postimees.ee/8130998,3,2,3,,FALSE
postimees.ee/8148274,postimees.ee/8132395,3,2,,,FALSE
postimees.ee/8137421,postimees.ee/7170771,3,2,,,FALSE
postimees.ee/8134015,postimees.ee/8130998,2,3,,,FALSE
postimees.ee/8104559,postimees.ee/7641225,2,3,,,FALSE
postimees.ee/8104559,postimees.ee/7695993,2,3,,,FALSE
postimees.ee/8102883,postimees.ee/8102443,3,2,,,FALSE
postimees.ee/8083132,postimees.ee/7984780,2,3,,,FALSE
postimees.ee/8082752,postimees.ee/8031674,2,3,,,FALSE
postimees.ee/8066609,postimees.ee/8035824,3,2,,,FALSE
postimees.ee/8052712,err.ee/1609385858,3,2,,,FALSE
postimees.ee/8022973,err.ee/1609344030,2,3,,,FALSE
postimees.ee/7989867,postimees.ee/7879233,3,2,,,FALSE
postimees.ee/7714650,postimees.ee/7712811,2,3,,,FALSE
postimees.ee/7714650,postimees.ee/7713680,3,2,,,FALSE
postimees.ee/7212476,postimees.ee/7165015,2,2,,,FALSE
postimees.ee/7207611,postimees.ee/7204921,2,3,,,FALSE
postimees.ee/7132350,postimees.ee/7130644,3,2,,,FALSE
postimees.ee/7095563,postimees.ee/7092017,3,2,,,FALSE
postimees.ee/6929607,postimees.ee/6923049,2,3,,,FALSE
postimees.ee/8147743,postimees.ee/8145282,2,3,,,FALSE
postimees.ee/8147743,postimees.ee/8146258,2,3,,,FALSE
postimees.ee/8138382,postimees.ee/7618351,3,2,3,3,FALSE
postimees.ee/8138382,postimees.ee/7634567,3,3,,,FALSE
postimees.ee/8114562,postimees.ee/7618351,2,3,,,FALSE
postimees.ee/8086454,err.ee/1609435048,2,3,,,FALSE
postimees.ee/8073104,postimees.ee/8069480,2,3,,,FALSE
